bodyId,bodyExplanation
下丘脑,位于间脑基底部，重约4g功能：分泌释放激素（如TRH、GnRH）和抑制激素，通过垂体门脉系统调控垂体前叶调控机制：神经-内分泌整合中枢
垂体,1、腺垂体（前叶）：分泌：GH、TSH、ACTH、FSH、LH、PRL 2、神经垂体（后叶）：储存/释放：ADH（加压素）、催产素调控：男女ADH分泌机制相同
松果体,分泌：褪黑素（昼夜节律调节）最新发现：含生殖活性物质（AVP、GnRH）男女差异：青春期前钙化程度无显著差异
甲状腺,泡细胞：T3/T4（代谢调节）C细胞：降钙素（钙磷代谢）
睾丸,Leydig细胞：睾酮（日分泌4-9mg） Sertoli细胞：ABP、抑制素 调控：LH刺激睾酮分泌，FSH维持生精 疾病特征：睾丸癌高发年龄15-35岁
肾上腺,1、皮质： 球状带：醛固酮（盐皮质激素） 束状带：皮质醇（糖皮质激素） 网状带：DHEA（性激素前体） 2、髓质： 肾上腺素/去甲肾上腺素 
胰腺,胰岛细胞： α细胞：胰高血糖素 β细胞：胰岛素 δ细胞：生长抑素 男女差异：男性更易出现中心性肥胖相关的胰岛素抵抗
会厌,位置：喉入口处（C3-C4水平） 结构：弹性软骨构成，呈叶片状 功能：吞咽时关闭喉口（0.3-0.5秒）
喉部_气管_支气管,1、喉部： 软骨框架：甲状软骨（喉结）、环状软骨、杓状软骨 声门裂：成人前后径约23mm，横径27mm 2、气管： C形软骨环（16-20个），后壁为膜性部 长度：成年男性10-12cm，女性稍短1-2cm 3、支气管： 右主支气管：较粗短（2.5cm），与气管成25°角 左主支气管：较细长（5cm），与气管成45°角
肺,1、分叶： 右肺：上、中、下三叶（10个支气管肺段） 左肺：上、下两叶（8-9个支气管肺段） 2、微结构： 呼吸性细支气管→肺泡管→肺泡囊（约3亿个肺泡） 气血屏障：0.2-0.5μm厚
膈肌,1、起止点： 胸骨部：剑突后面 肋部：第7-12肋内面 腰部：L1-L3椎体 2、中心腱：三叶状纤维膜 3、膈脚：右侧达L3，左侧达L2
呼吸肌,1、主要吸气肌： 膈肌（贡献70%通气量） 肋间外肌（提升肋骨） 2、辅助吸气肌： 斜角肌（固定第1-2肋） 胸锁乳突肌（提升胸骨） 3、呼气肌： 腹肌（主动呼气时收缩） 肋间内肌（降肋）
心脏,1、位置：中纵隔内（T5-T8水平） 2、腔室： 右心房：接收上下腔静脉血（容量约120ml） 右心室：壁厚3-5mm，泵血至肺动脉 左心房：接收肺静脉血（4条） 左心室：壁厚11-14mm，泵血至主动脉 3、瓣膜： 房室瓣：三尖瓣（右）、二尖瓣（左） 半月瓣：肺动脉瓣、主动脉瓣
肺部循环,1、肺动脉：唯一含缺氧血的动脉 右肺动脉长5cm，左肺动脉3cm 2、肺毛细血管网：总面积约70m2 3、肺静脉：唯一含氧合血的静脉
动脉系统,1、弹性动脉（传导血管）： 主动脉：升部（5cm）、弓部、降部 主要分支：头臂干、左颈总动脉、左锁骨下动脉 2、肌性动脉（分配血管）： 管径1-10mm（如桡动脉、股动脉） 中膜含10-40层平滑肌
静脉系统,1、深静脉：与动脉伴行（如股静脉） 2、浅静脉：独立走行（如大隐静脉） 3、特殊结构： 静脉瓣（四肢静脉每2-4cm一对） 硬脑膜窦（无瓣膜）
肾脏,1、位置：腹膜后间隙，T12-L3水平，右肾低于左肾约1.5cm（因肝脏压迫） 2、结构： 皮质（含肾小体）、髓质（肾锥体）、肾盂 肾单位：每肾约100万（肾小体+肾小管） 3、血管： 肾动脉（腹主动脉分支）→ 叶间动脉→ 入球小动脉→ 肾小球
膀胱,1、容量：成人400-500ml（最大可达1.5L） 2、分部： 顶部（腹膜覆盖）、体部、底部（三角区固定） 3、壁结构：黏膜（移行上皮）、逼尿肌（三层平滑肌）
输尿管,1、走行：肾盂→ 腰大肌前→ 跨髂血管→ 膀胱三角区 2、三狭窄： 肾盂移行处（内径1-2mm） 跨髂血管处（内径2-3mm） 膀胱壁内段（内径1-3mm） 3、蠕动：每分钟2-6次，推动尿液
尿道,长度16-22cm，分三部：前列腺部、膜部、海绵体部 尿道外括约肌（横纹肌，自主控制）
口腔,1、结构： 牙齿（32颗恒齿）、舌（味蕾密度：轮廓乳头<叶状乳头<菌状乳头） 唾液腺（腮腺、颌下腺、舌下腺） 2、生理： 唾液分泌量1-1.5L/日（含α-淀粉酶） 咀嚼压力：磨牙区60kg/cm2
食道,1、分段：颈段（C6-T1）、胸段（T1-T10）、腹段（穿过膈肌） 2、结构： 黏膜层（复层扁平上皮） 肌层：上1/3横纹肌，下1/3平滑肌 3、蠕动：原发性蠕动波速度2-4cm/s
胃,1、分区：贲门、胃底、胃体、幽门 2、细胞类型： 壁细胞（分泌HCl，pH 0.9-1.5） 主细胞（胃蛋白酶原） 3、容量：成人1500ml（最大扩张至4000ml）
肝脏,1、解剖单位：肝小叶（约100万个） 2、管道系统： 肝门三联体（门静脉、肝动脉、胆管） 肝板间胆小管（直径1-2μm） 3、功能： 胆汁分泌600-1000ml/日 代谢500种以上物质
胰腺,1、外分泌部：腺泡细胞（分泌胰酶） 2、内分泌部： 胰岛β细胞（胰岛素） α细胞（胰高血糖素） 3、胰管直径：主胰管2-3mm
胆囊,1、容量：40-70ml（浓缩胆汁5-10倍） 2、结构： Hartmann袋（结石易存留处） 螺旋瓣（Heister瓣）
小肠,1、分段： 十二指肠（25cm，分4部） 空肠（2.5m，环形皱襞高1cm） 回肠（3.5m，Peyer淋巴集结） 2、吸收结构： 绒毛密度：空肠＞回肠（20-40个/mm2） 微绒毛（吸收面积↑200倍）
大肠,1、分段：盲肠、升结肠、横结肠、降结肠、乙状结肠、直肠 2、特征结构： 结肠袋（haustra） 肠脂垂（附于结肠带） 3、直肠壶腹：储存粪便（容量约400ml）
淋巴系统,1、淋巴管道 毛细淋巴管： 起始于组织间隙，内皮细胞呈叠瓦状连接 无基膜，通透性高于毛细血管 集合淋巴管： 含瓣膜（每1-2cm一对），防止逆流 肌性层（平滑肌）推动淋巴流动 2、淋巴结 分布： 浅表淋巴结（颈、腋、腹股沟） 深部淋巴结（纵隔、肠系膜） 结构： 输入淋巴管（4-8条）→ 被膜下窦→ 髓窦→ 输出淋巴管（1-2条） B细胞区（皮质）、T细胞区（副皮质） 3、淋巴器官 胸腺： 位置：前纵隔上部 结构：皮质（密集淋巴细胞）、髓质（Hassall小体） 功能：T细胞成熟（青春期后退化） 脾： 白髓（淋巴鞘）、红髓（血窦+脾索） 正常体积：12cm×7cm×3cm（重150-200g） 扁桃体： 咽淋巴环（Waldeyer环）：腭扁桃体、咽扁桃体、舌扁桃体
睾丸,1、位置：阴囊内（较体温低2-3℃） 2、结构：250-300个睾丸小叶，每叶含1-4条曲细精管（总长≈500米） 3、附睾：头体尾三段（储存精子2-3周）
输精管,1、长度：45cm（外径2-3mm） 2、走行：经腹股沟管→盆腔→与精囊腺导管汇合
阴茎,1、海绵体：2条阴茎海绵体+1条尿道海绵体 2、勃起组织：螺旋动脉扩张使血流量↑20倍
中枢神经系统,1、脑 大脑：皮质厚度2-4mm（运动区最厚，视觉区最薄）；重要功能区：布洛卡区（语言输出）、韦尼克区（语言理解） 小脑：重约150g，含500亿颗粒细胞；绒球小结叶（前庭调节）、小脑半球（协调运动） 脑干：延髓（呼吸中枢）、脑桥（睡眠调控）、中脑（视觉反射） 2、脊髓 长度：成人约45cm（颈膨大C5-T1，腰膨大L1-S3） 灰质结构：前角（运动神经元）、后角（感觉整合） 白质束：皮质脊髓束（随意运动）、脊髓丘脑束（痛温觉）
外周神经系统,1、脑神经（12对） 运动型：Ⅲ、Ⅳ、Ⅵ（眼动）、Ⅺ（副神经） 感觉型：Ⅰ（嗅）、Ⅱ（视）、Ⅷ（前庭蜗） 混合型：Ⅴ（三叉）、Ⅶ（面）、Ⅸ（舌咽）、Ⅹ（迷走） 2、脊神经（31对） 颈神经8对（C1-C8）、胸12对、腰5对、骶5对、尾1对 神经丛：臂丛（C5-T1）、腰骶丛（L4-S4）
颅骨,1、脑颅骨（8块） 额骨（含额窦）、顶骨×2、枕骨（大孔直径≈3.5cm）、颞骨（含内耳道）、蝶骨（视神经管孔径4-6mm）、筛骨（垂直板厚1-2mm） 2、面颅骨（15块） 上颌骨（含上颌窦）、颧骨、鼻骨、下颌骨（骨密度最高达1.8g/cm3） 重要连接：颞下颌关节（唯一可动颅骨关节）
躯干骨,1、椎骨（26块成人） 颈椎（7块）：寰椎（C1）无椎体、枢椎（C2）齿突 胸椎（12块）：肋凹深度1-3mm 腰椎（5块）：椎体横径4-5cm（承重主力） 骶骨（5块融合）、尾骨（3-4块融合） 2、肋骨（12对） 真肋（1-7）、假肋（8-10）、浮肋（11-12） 肋软骨钙化年龄：男性＞25岁，女性＞20岁 3、胸骨 分颈静脉切迹、胸骨角（Louis角，平对T4/T5）、剑突
四肢骨,1、上肢骨 肩胛骨（关节盂深度5mm）、锁骨（长14-16cm） 肱骨（外科颈易骨折）、尺骨（滑车切迹）、桡骨（骨间嵴） 腕骨（8块）：舟骨（血供单一，易坏死） 2、下肢骨 髋骨（髂骨/坐骨/耻骨融合）、股骨（颈干角125°）、髌骨（膝盖骨）、胫骨（承重90%）、腓骨（外踝突出度3-5mm） 跗骨（7块）：距骨（无肌肉附着）
视觉,眼球：角膜（曲率半径7.8mm）、晶状体（屈光力15-20D）、视网膜（视杆细胞≈1.2亿，视锥细胞≈600万） 视路：视神经→视交叉（鼻侧纤维交叉）→外侧膝状体→视辐射
味觉,味蕾：≈8000个（舌菌状乳头含200-400个/个） 味细胞：Ⅰ型（支持）、Ⅱ型（甜/鲜/苦）、Ⅲ型（酸）
听觉,耳蜗：基底膜长度32mm（高频响应在基部） Corti器：内毛细胞≈3500个，外毛细胞≈12000个
嗅觉,嗅上皮：面积≈5cm2（含600万嗅神经元） 嗅球：突触小球≈2000个（每个整合5000个轴突）
平衡感觉,半规管：外/前/后管（管径≈0.3mm） 耳石器：椭圆囊（水平加速）、球囊（垂直加速）
躯体,1、皮肤感受器 触觉：Meissner小体（动态触觉，密度指尖≈150个/mm2） 压觉：Merkel细胞（静态压力，响应阈值≈5mg） 2、深感觉 肌梭：γ运动神经元调控灵敏度 关节觉：Ruffini末梢（角度感知误差＜2°）
内脏,1、传入路径 迷走神经（80%内脏传入）→孤束核 脊髓传入（痛觉）→脊髓后角 2、生理特征 牵涉痛：心绞痛→左臂放射（T1-T4皮节重叠） 内脏痛阈值高：需强烈扩张/缺血刺激
上皮组织,1、被覆上皮 1.1单层上皮 单层扁平：血管内皮（厚0.2-0.5μm）、胸膜间皮 单层立方：甲状腺滤泡（细胞高≈15μm） 单层柱状：小肠绒毛（微绒毛使表面积↑600倍） 1.2复层上皮 角化型鳞状：皮肤表皮（角蛋白含量＞15%） 非角化型：口腔黏膜（基底层细胞分裂周期≈24h） 变移上皮：膀胱（空虚时6-8层，充盈时2-3层） 2、腺上皮 外分泌腺：汗腺（日分泌量0.5-1L）、乳腺（哺乳期日泌乳1-1.5L） 内分泌腺：甲状腺滤泡旁细胞（分泌降钙素） 3、特殊上皮 感觉上皮：嗅黏膜（每cm2含10^7嗅细胞） 生殖上皮：睾丸生精小管（精子发生周期74天）
骨骼肌,1、肌纤维 直径10-100μm，长度数厘米（缝匠肌纤维最长≈30cm） 肌原纤维含≈1000个肌节（静息长度2.2μm） 2、细胞器 线粒体占比20-25%（红肌纤维） 肌质网储存Ca2?浓度达10?3 mol/L
平滑肌,1、单单位型 胃肠/血管壁（细胞间距＜20nm） 缝隙连接密度＞100个/细胞 2、多单位型 竖毛肌/虹膜（独立神经支配） 无缝隙连接
心肌,1、工作细胞 闰盘含400个桥粒/细胞（抗剪切强度＞50kPa） 线粒体占比35-40% 2、自律细胞 窦房结细胞直径5-10μm（起搏电流If） 浦肯野纤维传导速度4m/s
头颈肌群,1、表情肌由额肌和眼轮匝肌构成，额肌起自帽状腱膜止于眉部皮肤，眼轮匝肌环绕眼眶附着于睑内侧韧带。神经支配为面神经（CN VII） 2、咀嚼肌包含咬肌和颞肌，咬肌起自颧弓下缘止于下颌角外侧面，颞肌起自颞窝止于下颌骨冠突。神经支配为三叉神经下颌支（CN V3） 3、颈运动肌以胸锁乳突肌为代表，起自胸骨柄和锁骨内侧1/3，止于颞骨乳突。神经支配为副神经（CN XI）和颈丛分支（C2-C3）
躯干肌群,1、胸肌群中胸大肌起自锁骨内侧半、胸骨和第1-6肋软骨，止于肱骨大结节嵴。神经支配为胸内/外侧神经（C5-T1） 2、腹肌群以腹直肌为主，起自耻骨联合和耻骨嵴，止于剑突和第5-7肋软骨。神经支配为肋间神经（T7-T12） 3、背深肌群中竖脊肌由髂肋肌、最长肌和棘肌组成，起自骶骨背面和髂嵴后部，止于椎骨横突、肋骨角和枕骨上项线。神经支配为脊神经后支
上肢肌,1、肩带肌中三角肌覆盖肩关节，前束起自锁骨外侧1/3，中束起自肩峰，后束起自肩胛冈，共同止于肱骨三角肌粗隆。神经支配为腋神经（C5-C6） 2、臂肌以肱二头肌为核心，长头起自肩胛骨盂上结节，短头起自喙突，共同止于桡骨粗隆。神经支配为肌皮神经（C5-C7） 3、手肌的鱼际肌群包括拇短展肌、拇短屈肌和拇对掌肌，起自腕横韧带和大多角骨嵴，止于拇指近节指骨基底。神经支配为正中神经（C8-T1）
下肢肌,1、髋肌中臀大肌起自髂骨翼外侧面和骶骨背面，止于股骨臀肌粗隆和髂胫束。神经支配为臀下神经（L5-S2）。 2、大腿肌以股四头肌为主，包含股直肌（起自髂前下棘）、股中间肌（股骨体前表面）、股内侧肌和股外侧肌（均起自股骨粗线），共同止于胫骨粗隆。神经支配为股神经（L2-L4）。 3、小腿肌中腓肠肌起自股骨内/外侧髁后方，与比目鱼肌合并形成跟腱（阿基里斯腱），止于跟骨结节。神经支配为胫神经（S1-S2） 4、足肌： 4.1、足背肌：趾短伸肌起自跟骨前外侧面，止于第2-4趾近节趾骨基底背侧，神经支配为腓深神经（L5-S1）；拇短伸肌起自跟骨前外侧，止于拇趾近节趾骨基底，神经支配同腓深神经。 4.2、足底肌（第一层） 拇展肌起自跟骨结节内侧突，止于拇趾近节趾骨基底内侧；小趾展肌起自跟骨结节外侧突，止于小趾近节趾骨基底外侧。神经支配为足底内侧神经（S1-S2） 足底肌（第二层） 趾短屈肌起自跟骨结节，止于第2-5趾中节趾骨基底；跖方肌起自跟骨底面，止于趾长屈肌腱外侧缘。神经支配为足底内侧神经（S1-S2） 足底肌（第三层） 拇短屈肌起自骰骨和内侧楔骨，止于拇趾近节趾骨基底；拇收肌分斜头（起自第2-4跖骨基底）与横头（起自第3-5跖趾关节囊），止于拇趾近节趾骨基底外侧。神经支配为足底内侧神经（S1-S2） 足底肌（第四层） 骨间肌（3块跖侧、4块背侧）起自相邻跖骨相对面，止于近节趾骨基底；蚓状肌（4块）起自趾长屈肌腱，止于趾背腱膜。神经支配为足底外侧神经（S2-S3）
